id,web_name,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value
93,Schuster,Brentford,BRE,DEF,4.5,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,TOT,True,,1.0,0.0,0.0,0.0
424,Amass,Man Utd,MUN,DEF,4.0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,HUL,False,,1.0,0.0,0.0,0.0
429,Rashford,Man Utd,MUN,MID,7.0,1.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,HUL,False,,1.0,0.0,0.0,0.0
433,Ugarte,Man Utd,MUN,MID,5.0,0.0,38,876,0,0,0.0,1.7,29.8,167.2,83.6,48.0,i,Knee injury - Unknown return date,0.0,0.0,HUL,False,,1.0,6.470000000000001,0.0,0.0
292,Ömür,Hull City,HUL,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
293,Kamara,Hull City,HUL,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
294,Zambrano,Hull City,HUL,MID,4.5,0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,i,Thigh injury - Unknown return date,0.0,0.0,MUN,True,,1.0,0.0,0.0,0.0
295,McBurnie,Hull City,HUL,FWD,5.5,1.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
296,Akintola,Hull City,HUL,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
297,Gyabi,Hull City,HUL,MID,4.5,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,i,Thigh injury - Unknown return date,0.0,0.0,MUN,True,,1.0,0.0,0.0,0.0
