rank,id,web_name,photo,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value,projection_score,form_score,fixture_score,availability_score,home_score,value_score,ownership_opportunity,edge_score,confidence,recommendation_reason
1,427,Mbeumo,446008.jpg,Man Utd,MUN,MID,8.0,23.8,148,2611,11,3,0.0,4.5,231.4,628.8,803.1,882.0,a,,,1.0,HUL,False,,1.0,6.21507115819486,6.22,0.7775,100.0,50.0,50.0,100.0,50,81.09263657957244,76.2,92.5,92,strong projection
2,490,Wood,60689.jpg,Nott'm Forest,NFO,FWD,6.0,1.8,41,896,3,0,0.0,2.7,48.0,139.0,88.4,266.0,a,,,1.0,LEE,True,,1.0,5.659269386436438,5.66,0.9433333333333334,90.20979020979021,50.0,50.0,100.0,100,100.0,98.2,85.2,85,low ownership + strong value
3,55,Watkins,178301.jpg,Aston Villa,AVL,FWD,8.0,12.7,167,2833,16,4,0.0,4.5,225.2,720.2,330.9,1206.0,a,,,1.0,BHA,False,,1.0,5.621356676277451,5.62,0.7025,89.51048951048952,50.0,50.0,100.0,50,72.541567695962,87.3,84.6,85,strong overall statistical profile
4,428,Cunha,430871.jpg,Man Utd,MUN,MID,8.0,12.7,143,2493,10,4,0.0,4.3,202.5,675.8,545.4,801.0,a,,,1.0,HUL,False,,1.0,5.376468611189926,5.38,0.6725,85.3146853146853,50.0,50.0,100.0,50,69.12114014251782,87.3,81.5,82,strong overall statistical profile
5,464,Wissa,216646.jpg,Newcastle,NEW,FWD,6.0,1.7,27,517,1,1,0.0,1.4,25.5,58.0,46.7,163.0,a,,,1.0,LIV,True,,1.0,5.267874334967489,5.27,0.8783333333333333,83.39160839160839,50.0,50.0,100.0,100,92.58907363420427,98.3,80.0,80,low ownership + strong value
6,457,J.Murphy,114243.jpg,Newcastle,NEW,MID,6.0,0.2,82,1606,3,2,0.0,2.5,106.0,330.8,393.7,346.0,a,,,1.0,LIV,True,,1.0,5.04125815640121,5.04,0.84,79.37062937062937,50.0,50.0,100.0,100,88.21852731591449,99.8,77.0,77,low ownership + strong value
7,70,Kluivert,222683.jpg,Bournemouth,BOU,MID,6.0,1.1,41,945,2,0,0.0,2.0,58.8,148.0,305.1,135.0,a,,,1.0,MCI,False,,1.0,5.02772404231786,5.03,0.8383333333333334,79.1958041958042,50.0,50.0,100.0,50,88.02850356294537,98.9,76.9,77,low ownership + strong value
8,271,Muniz,244042.jpg,Fulham,FUL,FWD,5.5,0.7,36,987,1,1,0.0,1.7,47.3,113.2,93.2,287.0,a,,,1.0,CHE,True,,1.0,4.855827944983141,4.86,0.8836363636363637,76.22377622377623,50.0,50.0,100.0,100,93.19369466637876,99.3,74.7,75,low ownership + strong value
9,515,Maddison,172780.jpg,Spurs,TOT,MID,6.5,1.8,3,34,0,0,0.0,1.0,2.8,2.8,9.5,15.0,a,,,1.0,BRE,False,,1.0,4.825757737722716,4.83,0.7430769230769231,75.69930069930071,50.0,50.0,100.0,50,77.16791522017175,98.2,74.3,74,low ownership
10,94,Schade,513418.jpg,Brentford,BRE,MID,6.0,2.0,125,2744,8,5,0.0,3.6,172.8,536.8,380.1,821.0,a,,,1.0,TOT,True,,1.0,4.801236313706982,4.8,0.7999999999999999,75.17482517482517,50.0,50.0,100.0,100,83.65795724465556,98.0,73.9,74,low ownership
11,453,Barnes,201666.jpg,Newcastle,NEW,MID,6.0,1.2,106,1951,7,1,0.0,2.9,147.0,404.0,387.5,682.0,a,,,1.0,LIV,True,,1.0,4.787961934890672,4.79,0.7983333333333333,75.0,50.0,50.0,100.0,100,83.46793349168647,98.8,73.8,74,low ownership
12,454,Elanga,449434.jpg,Newcastle,NEW,MID,6.0,0.7,48,1302,0,1,0.0,1.5,57.8,130.4,266.7,185.0,a,,,1.0,LIV,True,,1.0,4.713012555487004,4.71,0.785,73.6013986013986,50.0,50.0,100.0,100,81.94774346793349,99.3,72.7,73,low ownership
13,431,Amad,493250.jpg,Man Utd,MUN,MID,6.0,1.7,91,2339,2,5,0.0,2.8,163.5,436.6,596.1,600.0,a,,,1.0,HUL,False,,1.0,4.556916415347175,4.56,0.7599999999999999,70.97902097902097,50.0,50.0,100.0,50,79.09738717339665,98.3,70.7,71,low ownership
14,209,Johnson,242898.jpg,Crystal Palace,CRY,MID,6.0,0.2,65,1710,2,1,0.0,1.9,75.8,223.4,311.1,230.0,a,,,1.0,EVE,False,,1.0,4.525015923679625,4.53,0.755,70.45454545454545,50.0,50.0,100.0,50,78.52731591448931,99.8,70.3,70,low ownership
15,397,Semenyo,437730.jpg,Man City,MCI,MID,8.5,26.2,202,3200,17,6,0.0,5.5,257.7,923.2,607.4,1047.0,a,,,1.0,BOU,True,,1.0,4.487482178421835,4.49,0.5282352941176471,69.75524475524476,50.0,50.0,100.0,100,52.67290764286713,73.8,69.8,70,strong overall statistical profile
16,223,Mateta,231747.jpg,Crystal Palace,CRY,FWD,6.5,6.6,114,2210,12,0,0.0,3.6,150.8,567.2,160.6,786.0,a,,,1.0,EVE,False,,1.0,4.491116375674603,4.49,0.6907692307692308,69.75524475524476,50.0,50.0,100.0,50,71.20409281929471,93.4,69.8,70,under-owned
17,14,Eze,232413.jpg,Arsenal,ARS,MID,6.5,3.1,113,1885,7,3,0.0,3.4,115.1,393.4,305.7,455.0,a,,,1.0,COV,True,,1.0,4.4772261926936165,4.48,0.6892307692307693,69.5804195804196,50.0,50.0,100.0,100,71.02868627809245,96.9,69.7,70,low ownership
18,480,Gibbs-White,222531.jpg,Nott'm Forest,NFO,MID,8.0,11.6,188,3101,15,4,0.0,5.1,242.5,843.8,747.7,836.0,a,,,1.0,LEE,True,,1.0,4.474106770225691,4.47,0.55875,69.4055944055944,50.0,50.0,100.0,100,56.15201900237528,88.4,69.6,70,strong overall statistical profile
19,367,Gakpo,243298.jpg,Liverpool,LIV,MID,7.0,3.4,131,2736,7,5,0.0,3.6,208.4,540.4,714.7,831.0,a,,,1.0,NEW,False,,1.0,4.459328795286808,4.46,0.6371428571428571,69.23076923076923,50.0,50.0,100.0,50,65.08992195453003,96.6,69.4,69,low ownership
20,40,Rogers,244850.jpg,Chelsea,CHE,MID,7.5,27.1,169,3280,10,8,0.0,4.6,232.0,746.2,706.2,871.0,a,,,1.0,FUL,False,,1.0,4.439420743136981,4.44,0.5920000000000001,68.88111888111888,50.0,50.0,100.0,50,59.942992874109265,72.9,69.2,69,strong overall statistical profile
