feature,importance
minutes,0.2807273447699045
ict_l3,0.14235995623197695
points_l5,0.13703783410968073
ict_index,0.13658916520788267
minutes_l5,0.10974802065200924
points_l3,0.08828583236451772
minutes_l3,0.08244879676556925
was_home,0.022803049898458938
